,Time,Diet,New_Diet,Tank_number,Sample_Type,Sample_Number,ID,BW,Length,Sex,Gut_struc,Gut_light,Anus_bleed,Gut_bleed,Fat_Score,Heart_Sco,softliver,patchy_liver,Liver_Sco,HSI,CSI,ID_New,common
T3_CTR_tk2_07,T3,CTR,CTR,tk2,Hind_Gut,7,T3_CTR_tk2_7,168,23.2,0,0,1,0,0,2,0,0,0,2,1.428571429,0.163690476,T3_CTR_tk2_07,T3_CTR_tk2_07
T2_CTR_tk2_07,T2,CTR,CTR,tk2,Hind_Gut,7,T2_CTR_tk2_7,153.7,23.8,1,0,1,NA,0,3,0,0,0,3.5,NA,0.150943396,T2_CTR_tk2_07,T2_CTR_tk2_07
T1_MC1_tk2_01,T1,CTR,MC1,tk2,Hind_Gut,1,T1_CTR_tk2_1,94.44,18.7,1,0,1,NA,0,2.5,0,0,0,3,1.260059297,0.094239729,T1_MC1_tk2_01,T1_CTR_tk2_01
T2_CTR_tk3_03,T2,CTR,CTR,tk3,Hind_Gut,3,T2_CTR_tk3_3,117.2,22.2,0,0,1,1,0,2.5,0,0,0,3.5,0.776450512,NA,T2_CTR_tk3_03,T2_CTR_tk3_03
T2_CTR_tk1_05,T2,CTR,CTR,tk1,Hind_Gut,5,T2_CTR_tk1_5,92,20,1,0,1,NA,0,3.5,0,0,0,3.5,0.847826087,0.177173913,T2_CTR_tk1_05,T2_CTR_tk1_05
T3_CTR_tk1_05,T3,CTR,CTR,tk1,Hind_Gut,5,T3_CTR_tk1_5,111,20,NA,0,1,0,0,1,0.5,1,0,1,1.288288288,0.226126126,T3_CTR_tk1_05,T3_CTR_tk1_05
T1_MC1_tk2_03,T1,CTR,MC1,tk2,Hind_Gut,3,T1_CTR_tk2_3,74.71,17.8,0,0,1,NA,0,3,0.5,0,0,3,1.258198367,0.119127292,T1_MC1_tk2_03,T1_CTR_tk2_03
T1_MC1_tk2_05,T1,CTR,MC1,tk2,Hind_Gut,5,T1_CTR_tk2_5,83.2,18.2,0,0,1,NA,0,3,0.5,0,0,3,1.430288462,0.146634615,T1_MC1_tk2_05,T1_CTR_tk2_05
T1_MC1_tk2_07,T1,CTR,MC1,tk2,Hind_Gut,7,T1_CTR_tk2_7,83,18.2,0,0,1,1,0,3,0,0,0,3,1.048192771,0.126506024,T1_MC1_tk2_07,T1_CTR_tk2_07
T1_CTR_tk2_01,T1,MC1,CTR,tk2,Hind_Gut,1,T1_MC1_tk2_1,71.73,17.5,0,0,1,NA,0,2.5,0,0,0,3,1.645057856,0.11431758,T1_CTR_tk2_01,T1_MC1_tk2_01
T1_CTR_tk2_03,T1,MC1,CTR,tk2,Hind_Gut,3,T1_MC1_tk2_3,93.62,19,0,0,1,NA,0,3.5,0,0,0,4,1.228370006,0.114291818,T1_CTR_tk2_03,T1_MC1_tk2_03
T2_CTR_tk3_05,T2,CTR,CTR,tk3,Hind_Gut,5,T2_CTR_tk3_5,153,24.2,0,1,1,0,0,3,0,0,0,3.5,0.862745098,0.171895425,T2_CTR_tk3_05,T2_CTR_tk3_05
T3_CTR_tk3_05,T3,CTR,CTR,tk3,Hind_Gut,5,T3_CTR_tk3_5,144,22.2,NA,0,1,NA,0,1,0,1,1,1.5,1.458333333,0.213888889,T3_CTR_tk3_05,T3_CTR_tk3_05
T1_CTR_tk2_05,T1,MC1,CTR,tk2,Hind_Gut,5,T1_MC1_tk2_5,90.52,18.5,1,0,1,NA,0,3,0,0,0,4,1.204153778,0.13146266,T1_CTR_tk2_05,T1_MC1_tk2_05
T3_CTR_tk3_07,T3,CTR,CTR,tk3,Hind_Gut,7,T3_CTR_tk3_7,261,26.8,1,0,1,NA,0,1.5,0,0,0,2,1.609195402,0.189655172,T3_CTR_tk3_07,T3_CTR_tk3_07
